spectrum,R (sRGB),G,B,L,a*,b*,Y,x,y,fx,fy,fz,eta,kappa,xr,yr,zr,Xr,Yr,Zr,X,Y,Z
blues,5.322282476,34.95931618,200.8693866,27.96237287,55.56431394,-84.08760168,5.443389469,0.154855366,0.07532936944,0.4901146009,0.3789859731,0.7994239815,0.008856,903.3,0.1177315664,0.05443389469,0.5108948406,95.047,100,108.883,11.19003219,5.443389469,55.62776292
browns,232.0547512,202.9945591,151.7984265,82.9861753,2.974989088,29.32486777,62.1369117,0.3748560973,0.3862541165,0.8592790756,0.8533290974,0.7067047586,0.008856,903.3,0.6344577535,0.621369117,0.3529506995,95.047,100,108.883,60.3033061,62.1369117,38.43033101
browns,222.9260054,193.8919366,142.7780411,79.72198446,3.096479845,29.53536509,56.19026926,0.3775372489,0.3884006072,0.8313824809,0.8251895212,0.6775126958,0.008856,903.3,0.574648935,0.5619026926,0.310994217,95.047,100,108.883,54.61865732,56.19026926,33.86198333
browns,213.8729853,184.862218,133.825198,76.45779362,3.228030993,29.75839909,50.63567556,0.38043937,0.3906935712,0.803506007,0.797049945,0.6482579496,0.008856,903.3,0.5187610776,0.5063567556,0.2724228636,95.047,100,108.883,49.30668414,50.63567556,29.66221865
browns,204.8877146,175.9110283,124.9326109,73.19360278,3.363832256,29.99905995,45.45976144,0.3835841026,0.3931624647,0.7756380333,0.7689103688,0.6189150691,0.008856,903.3,0.4666349781,0.4545976144,0.2370790458,95.047,100,108.883,44.35225476,45.45976144,25.81387774
browns,196.6556279,166.7297126,117.0280594,69.92941195,4.055188626,29.77557871,40.64915775,0.3870117813,0.3940928828,0.7488811699,0.7407707926,0.5918928991,0.008856,903.3,0.4199897893,0.4064915775,0.2073621033,95.047,100,108.883,39.9187695,40.64915775,22.5782079
browns,187.8504528,157.9208906,108.3289991,66.66522111,4.241225156,30.01522844,36.19049535,0.390731634,0.3967560043,0.7211136667,0.7126312164,0.5625550742,0.008856,903.3,0.3749826548,0.3619049535,0.1780307982,95.047,100,108.883,35.6409764,36.19049535,19.3845274
browns,179.5670987,148.9882725,100.3171823,63.40103027,4.805343646,29.9464931,32.07040506,0.3948070255,0.3983642909,0.6941023275,0.6844916402,0.5347591747,0.008856,903.3,0.3344032597,0.3207040506,0.1529236774,95.047,100,108.883,31.78402662,32.07040506,16.65078877
browns,171.2015757,140.2100289,92.18125231,60.13683943,5.259723259,29.99526541,28.27551775,0.3992569285,0.4004959427,0.6668715105,0.656352064,0.506375737,0.008856,903.3,0.2965695054,0.2827551775,0.1298430369,95.047,100,108.883,28.18804178,28.27551775,14.13769939
browns,163.2083102,131.376437,84.54460492,56.87264859,5.98157718,29.83312748,24.79246425,0.404164212,0.4018293913,0.6401756422,0.6282124878,0.4790468505,0.008856,903.3,0.2623598884,0.2479246425,0.1099344904,95.047,100,108.883,24.93652031,24.79246425,11.96999712
browns,154.7759196,122.8719892,76.30353196,53.60845775,6.295259807,30.04781254,21.60787541,0.4094999374,0.4048196794,0.6126634312,0.6000729116,0.4498338489,0.008856,903.3,0.229967189,0.2160787541,0.09102410049,95.047,100,108.883,21.85769141,21.60787541,9.910977134
browns,146.3895406,114.4731726,68.12018733,50.34426691,6.603098111,30.28907846,18.70838209,0.4153543091,0.4080733362,0.5851395316,0.5719333354,0.4204879431,0.008856,903.3,0.2003449128,0.1870838209,0.07434651962,95.047,100,108.883,19.04218293,18.70838209,8.095072095
browns,138.2596427,106.0810967,60.29010413,47.08007607,7.087256434,30.39889723,16.08061512,0.4218383139,0.4108485453,0.5579682721,0.5437937592,0.3917992731,0.008856,903.3,0.1737114769,0.1608061512,0.06014380187,95.047,100,108.883,16.51075475,16.08061512,6.548637579
