subject_id,trial_index,is_monolingual,colour,num,resp,resp_fixed,rt
5bdc5119a178310001314729,302,no,blues,1,голубой,голубой,1833.5
5bdc5119a178310001314729,303,no,browns,1,бежевый,бежевый,4499.69999999972
5bdc5119a178310001314729,304,no,reds,20,красный,красный,1807.5
5bdc5119a178310001314729,305,no,browns,20,коричневый,коричневый,3822.69999999972
5bdc5119a178310001314729,306,no,reds,1,розовый,розовый,4193.10000000009
5bdc5119a178310001314729,307,no,yellows,20,оранжевый,оранжевый,2802
5bf9881e1eafa5000110c99a,300,yes,yellows,20,охра,охра,23578
5bf9881e1eafa5000110c99a,301,yes,browns,1,бледно-розовый,бледно-розовый,9403
5bf9881e1eafa5000110c99a,302,yes,blues,20,кобальтово-синий,кобальтово-синий,5646.29999995232
5bf9881e1eafa5000110c99a,303,yes,reds,1,светло-лиловый,светло-лиловый,10431.2999999523
5bf9881e1eafa5000110c99a,304,yes,browns,20,грязно-коричневый,грязно-коричневый,5683.20000004768
5bf9881e1eafa5000110c99a,305,yes,reds,20,ярко-красный,ярко-красный,7657.59999990463
5bf9881e1eafa5000110c99a,306,yes,yellows,1,желтый,желтый,5062.29999995232
5bf9881e1eafa5000110c99a,307,yes,blues,1,светло-голубой,светло-голубой,3950
5c01eab78d67760001151885,300,yes,blues,1,голубой,голубой,18062.2000000477
5c01eab78d67760001151885,301,yes,reds,20,красный,красный,23205
5c01eab78d67760001151885,302,yes,yellows,1,желтый,желтый,12693.3999999762
5c01eab78d67760001151885,303,yes,browns,1,светло-коричневый,светло-коричневый,17156.8999999762
5c01eab78d67760001151885,304,yes,browns,20,темно-коричневый,темно-коричневый,17930
5c01eab78d67760001151885,305,yes,yellows,20,оранжевый,оранжевый,22124.7999999523
5c01eab78d67760001151885,306,yes,reds,1,сиреневый,сиреневый,17695.4000000954
5c01eab78d67760001151885,307,yes,blues,20,синий,синий,12280
5c0ed000fd0c0a0001f881ea,300,yes,blues,20,синий,синий,6802
5c0ed000fd0c0a0001f881ea,301,yes,reds,1,розовый,розовый,5703
5c0ed000fd0c0a0001f881ea,302,yes,reds,20,красный,красный,3984
5c0ed000fd0c0a0001f881ea,303,yes,browns,1,светло-коричневый,светло-коричневый,12906
5c0ed000fd0c0a0001f881ea,304,yes,blues,1,голубой,голубой,3281
5c0ed000fd0c0a0001f881ea,305,yes,browns,20,темно-коричневый,темно-коричневый,8229
5c0ed000fd0c0a0001f881ea,306,yes,yellows,1,жёлтый,жёлтый,5729
5c0ed000fd0c0a0001f881ea,307,yes,yellows,20,оранжевый,оранжевый,4180
5c4765349afd7b000196f770,300,yes,reds,1,розовый,розовый,5797.10000002384
5c4765349afd7b000196f770,301,yes,browns,1,бежевый,бежевый,2909.5
5c4765349afd7b000196f770,302,yes,browns,20,коричневый,коричневый,2950.79999995232
5c4765349afd7b000196f770,303,yes,yellows,1,желтый,желтый,3490.80000001192
5c4765349afd7b000196f770,304,yes,blues,20,синий,синий,1627.09999996424
5c4765349afd7b000196f770,305,yes,reds,20,красный,красный,2304.79999995232
5c4765349afd7b000196f770,306,yes,blues,1,голубой,голубой,2227.80000001192
5c4765349afd7b000196f770,307,yes,yellows,20,оранжевый,оранжевый,2567.19999998808
5c629b836e03a00001d47bdd,300,no,yellows,20,оранжевый,оранжевый,11508.5
5c629b836e03a00001d47bdd,301,no,reds,1,розовый,розовый,4901
5c629b836e03a00001d47bdd,302,no,reds,20,красный,красный,3277
5c629b836e03a00001d47bdd,303,no,browns,20,кориченевый,кориченевый,4484.5
5c629b836e03a00001d47bdd,304,no,blues,20,синий,синий,2239.09999990463
5c629b836e03a00001d47bdd,305,no,blues,1,голубой,голубой,3737.30000007153
5c629b836e03a00001d47bdd,306,no,yellows,1,желтый,желтый,2779.5
5c629b836e03a00001d47bdd,307,no,browns,1,цвет кожи,цвет кожи,6474.20000004768
5c6c260dce4e560001f75731,300,yes,yellows,20,оранжевый,оранжевый,6284.19999998808
5c6c260dce4e560001f75731,301,yes,reds,20,красный,красный,2073.60000002384
5c6c260dce4e560001f75731,302,yes,reds,1,розовый,розовый,2240.5
5c6c260dce4e560001f75731,303,yes,blues,1,голубой,голубой,2180.30000001192
5c6c260dce4e560001f75731,304,yes,browns,1,бежевый,бежевый,4153.69999998808
5c6c260dce4e560001f75731,305,yes,blues,20,синий,синий,1841.19999998808
5c6c260dce4e560001f75731,306,yes,yellows,1,жёлтый,жёлтый,3677.39999997616
5c6c260dce4e560001f75731,307,yes,browns,20,коричневый,коричневый,3940.80000001192
5c739927a2f54e00018d7040,300,no,blues,20,sinij,синий,6074.25499998499
5c739927a2f54e00018d7040,301,no,reds,1,rozovij,розовый,3536.75999998813
5c739927a2f54e00018d7040,302,no,browns,20,koricnevij,коричневый,4568.31000000238
5c739927a2f54e00018d7040,303,no,reds,20,krasnij,красный,2803.09999996098
5c739927a2f54e00018d7040,304,no,yellows,1,zoltij,желтый,2419.47500000242
5c739927a2f54e00018d7040,305,no,browns,1,bezevij,бежевый,6217.94000000227
5c739927a2f54e00018d7040,306,no,blues,1,goluboi,голубой,6058.93999995897
5c739927a2f54e00018d7040,307,no,yellows,20,kirpichnij,кирпичный,5254.72000002628
5c88483929e4730001a0082a,300,yes,blues,1,голубок,голубой,2999
5c88483929e4730001a0082a,301,yes,yellows,1,желтый,желтый,5553
5c88483929e4730001a0082a,302,yes,reds,20,красный (алый),красный,7805
5c88483929e4730001a0082a,303,yes,reds,1,розовый,розовый,2259
5c88483929e4730001a0082a,304,yes,blues,20,синий,синий,2556
5c88483929e4730001a0082a,305,yes,browns,20,коричневый,коричневый,3533
5c88483929e4730001a0082a,306,yes,browns,1,бежевый,бежевый,5092
5c88483929e4730001a0082a,307,yes,yellows,20,оранжевый,оранжевый,2870
5c9920556825d900019bab7a,300,no,yellows,20,оранжевый,оранжевый,23688
5c9920556825d900019bab7a,301,no,yellows,1,бледно-желтый,бледно-желтый,11060
5c9920556825d900019bab7a,302,no,reds,1,розоватый,розоватый,7423
5c9920556825d900019bab7a,303,no,blues,20,цвет морской волны,цвет морской волны,8808
5c9920556825d900019bab7a,304,no,browns,1,бледный,бледный,7251
5c9920556825d900019bab7a,305,no,blues,1,светло-голубой,светло-голубой,7796
5c9920556825d900019bab7a,306,no,reds,20,красный,красный,6786
5c9920556825d900019bab7a,307,no,browns,20,грязно-коричневый,грязно-коричневый,12416
5cabf58293e29a0016018c30,300,no,blues,1,goluboy,голубой,9843
5cabf58293e29a0016018c30,301,no,browns,1,korichnevui,коричневый,8138
5cabf58293e29a0016018c30,302,no,browns,20,temno korichnevui,темно-коричневый,8086
5cabf58293e29a0016018c30,303,no,yellows,20,oranzhevuu,оранжевый,13009
5cabf58293e29a0016018c30,304,no,blues,20,sinii,синий,7209
5cabf58293e29a0016018c30,305,no,yellows,1,zheltui,желтый,12540
5cabf58293e29a0016018c30,306,no,reds,20,krasnui,красный,4052
5cabf58293e29a0016018c30,307,no,reds,1,rozovui,розовый,50260
5cadf60419bbcd0001c74e7b,300,yes,blues,1,голубой,голубой,18544
5cadf60419bbcd0001c74e7b,301,yes,yellows,1,жёлтый,жёлтый,46560
5cadf60419bbcd0001c74e7b,302,yes,reds,1,розовый,розовый,24809
5cadf60419bbcd0001c74e7b,303,yes,yellows,20,оранжевый,оранжевый,10556
5cadf60419bbcd0001c74e7b,304,yes,browns,1,серый,серый,5284
5cadf60419bbcd0001c74e7b,305,yes,browns,20,коричневый,коричневый,21866
5cadf60419bbcd0001c74e7b,306,yes,blues,20,синий,синий,3041
5cadf60419bbcd0001c74e7b,307,yes,reds,20,красный,красный,3325
5cbdf7e839447e00017459f3,300,yes,browns,1,светло-коричневый,светло-коричневый,8679
5cbdf7e839447e00017459f3,301,yes,yellows,1,желтый,желтый,2253
5cbdf7e839447e00017459f3,302,yes,reds,1,розовый,розовый,4987
5cbdf7e839447e00017459f3,303,yes,blues,20,синий,синий,3173
5cbdf7e839447e00017459f3,304,yes,blues,1,голубой,голубой,2676
5cbdf7e839447e00017459f3,305,yes,browns,20,коричневый,коричневый,6139
5cbdf7e839447e00017459f3,306,yes,yellows,20,оранжевый,оранжевый,2853
5cbdf7e839447e00017459f3,307,yes,reds,20,красный,красный,2016
5cd7e6f6885e0a0017273d57,300,yes,browns,1,оранжевый,оранжевый,12696.7949999962
5cd7e6f6885e0a0017273d57,301,yes,blues,20,синий,синий,3573.94000003114
5cd7e6f6885e0a0017273d57,302,yes,blues,1,голубой,голубой,3958.02000002004
5cd7e6f6885e0a0017273d57,303,yes,reds,20,красный,красный,3080.95500001218
