,subject_id,colour,num,is_dark,rt,language
687,54af2a48fdf99b09c01b3801,reds,11,0,1424,English
688,54af2a48fdf99b09c01b3801,yellows,13,1,2561.2,English
689,54af2a48fdf99b09c01b3801,reds,17,1,728.0999999,English
690,54af2a48fdf99b09c01b3801,yellows,8,0,1573.8,English
691,54af2a48fdf99b09c01b3801,yellows,18,1,706.4000001,English
692,54af2a48fdf99b09c01b3801,browns,13,1,1478.7,English
693,54af2a48fdf99b09c01b3801,yellows,10,0,1535.8,English
694,54af2a48fdf99b09c01b3801,browns,19,1,988.2999997,English
695,54af2a48fdf99b09c01b3801,blues,15,1,1117.4,English
696,54af2a48fdf99b09c01b3801,blues,7,0,644.6999998,English
697,54af2a48fdf99b09c01b3801,yellows,6,0,724.5,English
698,54af2a48fdf99b09c01b3801,blues,8,0,807.0999999,English
699,54af2a48fdf99b09c01b3801,browns,3,0,714.1999998,English
700,54af2a48fdf99b09c01b3801,browns,11,0,1244.8,English
701,54af2a48fdf99b09c01b3801,yellows,9,0,873.5,English
702,54af2a48fdf99b09c01b3801,reds,12,0,1097.7,English
704,54af2a48fdf99b09c01b3801,blues,5,0,969.4000001,English
705,54af2a48fdf99b09c01b3801,browns,16,0,608.1999998,English
706,54af2a48fdf99b09c01b3801,reds,9,0,1264,English
707,54af2a48fdf99b09c01b3801,reds,8,0,676.4000001,English
708,54af2a48fdf99b09c01b3801,yellows,18,1,1219.3,English
709,54af2a48fdf99b09c01b3801,blues,2,0,660.1999998,English
710,54af2a48fdf99b09c01b3801,yellows,3,0,808.6000004,English
711,54af2a48fdf99b09c01b3801,browns,6,0,597.5999999,English
712,54af2a48fdf99b09c01b3801,yellows,5,0,734.4000001,English
713,54af2a48fdf99b09c01b3801,blues,7,0,1258.3,English
714,54af2a48fdf99b09c01b3801,yellows,12,0,1008.5,English
715,54af2a48fdf99b09c01b3801,browns,15,1,1082.2,English
716,54af2a48fdf99b09c01b3801,yellows,6,0,922.4000001,English
717,54af2a48fdf99b09c01b3801,reds,12,0,847.1999998,English
718,54af2a48fdf99b09c01b3801,yellows,17,1,698.5999999,English
719,54af2a48fdf99b09c01b3801,browns,11,0,1457,English
720,54af2a48fdf99b09c01b3801,browns,16,1,866,English
721,54af2a48fdf99b09c01b3801,browns,20,1,676.0999999,English
722,54af2a48fdf99b09c01b3801,browns,10,0,1472.7,English
723,54af2a48fdf99b09c01b3801,browns,6,0,590.3000002,English
724,54af2a48fdf99b09c01b3801,browns,3,1,596.9000001,English
725,54af2a48fdf99b09c01b3801,yellows,14,1,1803.4,English
726,54af2a48fdf99b09c01b3801,blues,10,0,1096.9,English
727,54af2a48fdf99b09c01b3801,yellows,16,1,940.7000003,English
728,54af2a48fdf99b09c01b3801,blues,13,1,1265.6,English
729,54af2a48fdf99b09c01b3801,browns,17,1,858.1999998,English
730,54af2a48fdf99b09c01b3801,reds,6,0,1152.7,English
731,54af2a48fdf99b09c01b3801,blues,11,1,2426.9,English
732,54af2a48fdf99b09c01b3801,yellows,8,0,1870.5,English
733,54af2a48fdf99b09c01b3801,browns,4,0,684.4000001,English
734,54af2a48fdf99b09c01b3801,yellows,4,0,663.7999997,English
735,54af2a48fdf99b09c01b3801,yellows,20,1,816.8000002,English
736,54af2a48fdf99b09c01b3801,blues,14,1,969.6000004,English
737,54af2a48fdf99b09c01b3801,reds,1,0,1288.1,English
738,54af2a48fdf99b09c01b3801,browns,5,0,1038.3,English
739,54af2a48fdf99b09c01b3801,reds,8,0,767.1999998,English
740,54af2a48fdf99b09c01b3801,blues,16,1,928.5,English
741,54af2a48fdf99b09c01b3801,yellows,1,0,802.8999996,English
